hub,destination,aircraft,num_assigned,notes
DXB,ASB,a319neo,1,PAX
DXB,AUA,a342,1,PAX
DXB,BBU,a319neo,1,PAX
DXB,BBU,a342,1,PAX
DXB,CAI,a319neo,1,PAX
DXB,CAI,a342,2,PAX
DXB,CAN,a319neo,1,PAX
DXB,CAN,a342,1,PAX
DXB,EBB,a319neo,1,PAX
DXB,EBB,a342,1,PAX
DXB,GYD,a319neo,1,PAX
DXB,IAD,a342,1,PAX
DXB,KBL,a319neo,1,PAX
DXB,SAH,a319neo,1,PAX
HKG,AMS,ch605,1,VIP
HKG,ASB,a223,1,PAX
HKG,BGW,a313f,1,CARGO
HKG,BKK,erj172,1,PAX
HKG,BYN,erj172,1,PAX
HKG,DAC,a223,1,PAX
HKG,DAC,erj172,1,PAX
HKG,DWC,b73max9,1,PAX
HKG,DYU,a223,1,PAX
HKG,GMP,erj172,1,PAX
HKG,IAD,a342,2,PAX
HKG,ISB,a223,1,PAX
HKG,KBL,a223,1,PAX
HKG,KWI,b73max9,1,PAX
HKG,MEX,a342,1,PAX
HKG,MLE,a223,1,PAX
HKG,MNL,erj172,1,PAX
HKG,MYY,erj172,1,PAX
HKG,OIT,erj172,1,PAX
HKG,ORD,a342,2,PAX
HKG,OSL,ccx,1,VIP
HKG,PEK,a223,1,PAX
HKG,PEK,ccx,1,VIP
HKG,PHX,a342,1,PAX
HKG,PQC,erj172,1,PAX
HKG,SGC,a223,1,PAX
HKG,SIN,a223,1,PAX
HKG,SQG,erj172,1,PAX
HKG,SVO,a342,1,PAX
HKG,SYD,a322,1,VIP
HKG,SYD,ccx,1,VIP
HKG,TKG,a313f,1,CARGO
HKG,TPE,a223,1,PAX
HKG,YOW,a342,2,PAX
HKG,ZER,erj172,1,PAX
JFK,ASM,a342,1,PAX
JFK,ATL,a321neo,1,PAX
JFK,BBU,a342,1,PAX
JFK,CAI,a342,1,PAX
JFK,CCU,a342,1,PAX
JFK,DEN,a342,1,PAX
JFK,DFW,a223,1,PAX
JFK,DIA,a342,1,PAX
JFK,DXB,a342,1,PAX
JFK,ESB,a342,1,PAX
JFK,FNA,a342,1,PAX
JFK,FSP,a400m,1,CARGO
JFK,GEO,a342,1,PAX
JFK,HND,a342,1,PAX
JFK,HNL,a342,1,PAX
JFK,IAH,a223,1,PAX
JFK,INU,a342,1,PAX
JFK,JUB,a342,1,PAX
JFK,LAS,a3212,1,PAX
JFK,LAX,a321neo,1,PAX
JFK,LBV,a342,1,PAX
JFK,LHR,a321neo,1,PAX
JFK,LIM,a342,1,PAX
JFK,MCO,a321neo,1,PAX
JFK,MIA,a321neo,1,PAX
JFK,MSU,a342,1,PAX
JFK,MTS,a342,1,PAX
JFK,MVD,a342,1,PAX
JFK,NDJ,a342,1,PAX
JFK,ORD,a3212,1,PAX
JFK,PVG,a342,1,PAX
JFK,SEA,a223,1,PAX
JFK,SFO,a321neo,1,PAX
JFK,SPN,a342,1,PAX
JFK,SVD,a400m,1,CARGO
JFK,TMS,a342,1,PAX
JFK,WLS,a342,1,PAX
JFK,WMX,a342,1,PAX
KHI,AKJ,a313f,1,CARGO
KHI,AKL,a342,1,PAX
KHI,ASB,erj135er,1,PAX
KHI,ATH,a221,1,PAX
KHI,AUH,a221,1,PAX
KHI,AXD,b737c,1,PAX
KHI,AZI,erj145er,1,PAX
KHI,BEY,a221,1,PAX
KHI,BOM,erj135er,1,PAX
KHI,CAN,a221,1,PAX
KHI,CCK,a221,1,PAX
KHI,DCA,a342,1,PAX
KHI,DEL,erj135er,1,PAX
KHI,DXB,erj135er,1,PAX
KHI,DXB,erj145er,1,PAX
KHI,DYU,erj135er,1,PAX
KHI,EBB,a221,1,PAX
KHI,FNA,a350f,1,CARGO
KHI,FRA,a319neo,1,PAX
KHI,FRU,a221,1,PAX
KHI,GAF,a322,1,PAX
KHI,GYD,a221,1,PAX
KHI,HKG,a322,2,PAX
KHI,HKG,a32neo,1,PAX
KHI,HND,a321x1r,1,PAX
KHI,IKA,dc910,1,PAX
KHI,ISB,atr4232,1,PAX
KHI,ISL,a3192,1,PAX
KHI,JED,a322,1,PAX
KHI,JFK,a342,1,PAX
KHI,JIB,a221,1,PAX
KHI,KBL,a221,1,PAX
KHI,KDU,atr4232,1,PAX
KHI,KVD,erj172,1,PAX
KHI,KWI,erj135er,1,PAX
KHI,LHE,atr4232,1,PAX
KHI,LHR,a319neo,2,PAX
KHI,LUX,ccx,1,VIP
KHI,MCT,a221,1,PAX
KHI,MCT,erj192,1,PAX
KHI,MED,a322,1,PAX
KHI,MJD,atr4232,1,PAX
KHI,MLA,a322,1,PAX
KHI,MUX,atr4232,1,PAX
KHI,ORD,a342,1,PAX
KHI,PAT,erj192,1,PAX
KHI,PEK,a3181,1,PAX
KHI,PEK,a322,1,PAX
KHI,PEW,atr4232,1,PAX
KHI,RUH,erj135er,1,PAX
KHI,RUH,erj145xr,1,PAX
KHI,SFO,a342,1,PAX
KHI,SHJ,erj192,1,PAX
KHI,SJJ,a221,1,PAX
KHI,SVO,a3181,1,PAX
KHI,SYD,a342,1,PAX
KHI,SZX,a322,1,PAX
KHI,TGD,a221,1,PAX
KHI,TIP,a221,1,PAX
KHI,XCH,a3192,1,PAX
LHR,AMS,a319neo,1,PAX
LHR,BOM,a342,1,PAX
LHR,CDG,a319neo,1,PAX
LHR,DEB,a319neo,1,PAX
LHR,DEL,a342,1,PAX
LHR,DIA,a32neo,1,PAX
LHR,DUB,a319neo,1,PAX
LHR,DXB,a319neo,1,PAX
LHR,EWR,a342,1,PAX
LHR,FCO,a32neo,1,PAX
LHR,HKG,a342,1,PAX
LHR,HKG,ch605,1,VIP
LHR,JNB,a342,1,PAX
LHR,MAD,a319neo,1,PAX
LHR,PEK,a342,1,PAX
LHR,SAW,a319neo,1,PAX
LHR,SIN,a342,1,PAX
LHR,VIE,a319neo,1,PAX
LHR,VRB,a32neo,1,PAX
LHR,YUL,a322,1,PAX
LHR,YYZ,a321neo,1,PAX
MJD,GBE,a342,1,PAX
MJD,IOM,a342,1,PAX
MJD,POS,a342,1,PAX
MJD,PRG,a342,1,PAX
